ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
619093607,2020-09-18T18:43:28.64,2.4362,126.8754,39.6,,23
619099595,2020-09-18T20:59:47.92,-5.6150,147.0341,133.5,,16
619100991,2020-09-20T13:28:27.70,6.6547,125.5895,188.4,,12
619102792,2020-09-20T22:13:15.75,9.2703,126.7414,18.7,5.7,12
619104501,2020-08-24T00:45:18.39,-28.7457,-177.0870,40.4,5.5,24
619104505,2020-08-24T22:49:59.09,-21.9017,-175.4206,35.0,,10
619104507,2020-08-25T19:02:59.39,-5.4936,151.9244,30.8,6.1,36
619104766,2020-08-01T19:45:48.08,-22.9075,-175.8635,17.4,,12
619104847,2020-09-22T01:19:03.82,-6.9449,129.3610,179.2,,15
619320209,2020-09-25T05:57:57.03,55.2496,-157.9119,25.7,,16
619394467,2020-09-26T22:50:24.57,39.9617,24.3479,8.5,,12
619394685,2020-09-27T04:12:17.94,51.9763,-169.7907,19.1,5.6,29
619394861,2020-09-28T02:44:20.69,51.9939,-169.6650,19.8,5.6,15
619399726,2020-10-01T01:13:36.62,-19.5564,-174.1310,36.0,6.4,32
619404995,2020-10-01T10:25:06.59,51.5630,-174.9249,33.4,,18
619447778,2020-10-01T22:04:04.93,-2.9928,145.4254,10.0,,10
619453472,2020-10-03T03:25:12.76,6.1469,126.1812,131.1,,10
619454335,2020-10-03T13:22:47.75,69.2559,-30.0139,14.6,5.5,24
619455089,2020-10-04T23:20:56.66,-20.0465,-173.2983,25.0,,15
619455107,2020-10-05T03:07:47.93,-9.6228,119.4375,66.7,,10
619460475,2020-10-06T05:54:50.99,54.9582,-159.9053,33.5,5.7,33
619461935,2020-10-08T07:35:32.47,-6.1080,146.2006,114.6,6.1,48
619463607,2020-10-08T14:22:39.25,52.7584,-168.2597,34.9,,30
619463608,2020-10-08T15:25:08,-11.1148,163.3064,31.0,,11
619464411,2020-10-08T23:14:35.59,-6.2482,146.2887,112.3,,10
619464420,2020-10-09T02:57:21.46,-6.0216,122.6373,18.4,,12
619479207,2020-10-10T17:38:01.01,24.6377,93.6017,51.8,,18
619480891,2020-10-13T09:29:53.28,14.0071,56.8873,17.7,,10
619483053,2020-10-15T09:41:16.28,-3.2689,100.3258,20.7,,18
619487615,2020-10-17T00:36:03.52,-3.3358,100.3418,28.8,,27
619487893,2020-10-17T17:55:00.22,-3.2915,100.3221,19.9,5.6,26
619489142,2020-10-18T22:48:50.76,-3.3683,100.2553,16.6,,12
619489174,2020-10-19T07:31:31.22,-3.3162,100.3676,22.3,5.9,27
619489176,2020-10-19T07:47:21.80,-3.3722,100.4016,19.6,5.5,20
